comment,True_Label,Predict
Đóng gói sản phẩm rất đẹp và chắc chắn Chất lượng sản phẩm tuyệt vời Rất đáng tiền Shop phục vụ rất tốt Thời gian giao hàng rất nhanh.,5,5
"Chất lượng áo tuyệt vời, mềm mịn, dày dặn, đường chỉ may đẹp, màu áo đúng như hình.",4,4
Thời gian giao hàng rất nhanh.,5,5
"Hàng giống như hình,tuy nhiên vải mỏng, mình không hài lòng chất liệu vải lắm.",2,2
Chất lượng sản phẩm tốt.,3,5
Màu sắc k giống hình màu xấu hơn.,2,2
Bán hàng rất có tâm và nhiệt tình.,5,5
Chất lượng sản phẩm tốt Đóng gói sản phẩm chắc chắn Shop phục vụ khá tốt vải ok...,5,5
Đẹp ạ.,5,5
"chất lượng ok,mỗi tội bụng rộng quá.lại phải sửa.",3,3
Shop rất có tâm khi báo trc là có chương trình khuyến mãi sau 3 ngày nhưng vội quá mình cứ lấy luôn tại ko chờ để mua hàng sale dc.,5,5
Ok lăm shop.,5,5
Làm ăn gì kì vậy Shopee?,1,1
Shop phục vụ khá tốt.,5,5
"Vải đẹp, huyền huyền ảo ảo rất thích.",5,5
Giao hàng thì như beep.,1,5
"Tuy nhiên hộp giày k chắc chắn nên bị móp, nhưng k sao.",5,5
Quần màu ok.,5,5
Áo mặc đẹp ủng hộ shop dài dài.,5,5
"Áo rách ,quần thiếu chi tiết Đóng gói sản phẩm rất đẹp và chắc chắn.",3,3
Chất lượng sản phẩm rất kém Rất không đáng tiền.,1,1
Thời gian giao hàng rất nhanh sp đúng hình.,4,5
"Đồ đẹp, chất vải quá đẹp.",5,5
Giày nhìn giống trên hình mang khá êm và vừa chân..đường may chưa tỉ mỉ lắm.,4,4
Áo vải dày.Quá tuyệt so với giá.,1,5
Dáng váy và chất vải khá đẹp.,4,4
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn.,5,5
"Hàng đẹp, giống hình cảm ơn shop.",4,4
Shop phục vụ rất tốt.,4,5
Chất lượng sản phẩm tuyệt vời.lần trước mua mẹ mình rất vừa ý nên mua thêm cho mẹ.,5,5
Chất lượng sản phẩm quá kém k nên mua.,1,1
Chất lượng phù hợp giá tiền.,4,5
Màu ko đẹp như hình chup.,1,1
Áo đẹp lắm ạ .,5,5
Mua 3 túi thơm mà chỉ đưa có một hương rose...,1,1
Size k chuẩn xl mà nhỏ như M.,3,3
ĐẸP.,5,5
"Chất lượng phù hợp với giá tiền, Shop phục vụ rất tốt.",5,5
Chị chủ quán dễ.,5,5
Hàng đẹp chuẩn giống hình.,5,5
Rất ưng ý vs sản phẩm cho shop 5sao.,5,5
Mua 7cái đều ưng cả.,5,5
"Có gọng mà, hay shop lấy nhầm.",1,1
Mọi người yên tâm mua đồ ở shop nhé ❤️ thời gian giao hàng cũng nhanh nữa.,4,4
Sz S mà quá rộng.,2,2
Sp k như mình tưởng tượng.,1,1
"Giày êm, hài lòng.",4,5
Giaoo hàng nhanh nữaa.,3,5
Chất ok ạ.,4,5
Như hình.,3,5
"Dep , Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời.",5,5
Thời gian giao hàng rất nhanh.,4,5
Vải rất mỏng.,3,2
"Chất lượng thì không chê, nhưng góp ý: khách đặt màu nào bạn nên gửi đúng màu đó.",2,2
Ngày tháng voucher chuẩn.,3,5
Chất cũng được nữa.,5,5
45kg mặc quá rộng.,1,1
Đóng gói sản phẩm rất đẹp và chắc chắn Chất lượng sản phẩm tuyệt vời Thời gian giao hàng rất nhanh Rất đáng tiền.,5,5
"Đáng 100k,chất oke có dây đai điều chỉnh.",4,4
Chất lượng sản phẩm tuyệt vời mỗi tội quần hơn ngắn.,4,4
"Hang dep , giao dung mau hang , phuc du tot .",5,5
Mới dùng thử máy chạy yếu.,2,2
"áo chất cotton hịn, mặc mát và thích,.",5,5
Đẹp.,3,5
"Quần giá ok, mặc cũng rất thích.",4,4
"Chất lượng tuyệt vời, thời gian giao hàng tốt.",4,5
Quần y hình .,3,3
"Chất liệu khá tốt, áo rộng đúng như ý mình muốn, chủ shop nói chuyện dễ thương.",5,5
Không cho đổi trả.,1,1
Giao hàng nhanh .,4,5
Đóng gói đẹp.,5,5
"Quá đẹp, mặc ấm.",5,5
Chất lượng sản phẩm tuyệt vời.,5,5
"sản phẩm mình chưa kịp mặc thử nhưng nhìn chung khá ok dù có 1 vài lỗi nhỏ, tuy nhiên cũng hợp giá tiền rồi. chủ shop nhiệt tình lắm ^^.",4,4
Hơi thất vọng ở shop này.,2,2
Sản phẩm tốt tư vấn nhiệt tình 😍😍😍😍.,5,5
Chất lượng sản phẩm khá ok.,5,5
Đóng gói sản phẩm rất đẹp và chắc chắn Thời gian giao hàng rất nhanh chưa dùng nên chưa biết sp có tốt k nếu dùng tốt sẽ ủng hộ tiếp.,4,4
Shop làm ăn không được.,2,5
"Áo mềm vải mịn lắm :3 Đóng gói cũng đẹp và chắc chắn nữa, có cơ hội sẽ ủng hộ shop nhiều hơn ạ<3.",5,5
Chất lượng sản phẩm tuyệt vời.,5,5
Vải tạm ổn nhưng dính vết mực bút.,3,3
Nét đẹp.,5,5
"Quần đứng dáng, vải dày dặn, đường may tỉ mỉ.",5,5
Chất lượng sản phẩm tuyệt vời.,5,5
Chất lượng sản phẩm tuyệt vời Lúc đặt mình đang cần gấp nên giục shop mấy lần liền nhg ad vẫn rất thân thiện.,5,5
Nhưng thiếu phụ kiện.,4,5
bộ nữ chất rất đẹp.,4,4
khá hài lòng về sản phẩm. giao hàng rất nhanh. đóng gói cẩn thận.,5,5
Hàng nên gói có xốp thì an toàn hơn.,3,3
Giày bao xing.,5,5
"Áo xinh lắm mấy chế ơi.... chất lượng vải rất tốt, đường may cẩn thận.",4,4
Thật là đẹp quá mà.,4,5
"Rất đáng tiền luôn ạ, áo vải ok lắm nhaaa mng.. với cả shop thân thiện nch dthw mà giao hàng còn nhanh gọn lẹ nữa hihi.",5,5
Đóng gói cận thận.,5,5
Rất đáng tiền Rất đáng tiền.,5,5
Đóng gói sản phẩm rất đẹp và chắc chắn.,5,5
"chất vải đẹp, tư vấn rất ư là thân thiện.",5,5
Chất lượng sản phẩm tuyệt vời thời gian giao hàng rất nhanh.shop tư vấn rất nhiệt tình.,5,5
"Giày tróc màu đế, giống như đồ chơi con nít...sơn chồng lên giày dỏm..",1,1
Túi bọc hàng hơi bị bục xíu chắc do vận chuyển.,4,4
Đã ăn thử và đang bán luôn ạ.,3,3
Siêu xinh luôn.,4,5
"Áo giặt nước đầu bị ra màu , không sử dụng được.",1,1
Áo đẹp nhưng tay áo vẫn còn nhiều chỉ thừa và bị dơ ở 2 ống tay :(.,2,2
shop phục vụ rất tốt nên mua Đóng gói sản phẩm rất đẹp và chắc chắn Rất đáng tiền Shop phục vụ rất tốt Chất lượng sản phẩm tuyệt vời Thời gian giao hàng rất nhanh.,5,5
"Chất lượng hàng rất tốt, shop nhiệt tình.",5,5
Chất lượng sản phẩm tuyệt vời.,5,5
Quần mẫu đẹp..hợp ý.,4,2
Giao hàng nhanh chóng. 5* chất lượng.,5,5
Cảm thấy mặc rất mát và thoải mái hơn so với những loại quần lót ren mình hiện đang mặc.,5,5
Giao hàng nhanh!,5,5
áo ok.,5,4
Chúc shop buôn may bán dắt !!!,3,5
đẹp lắm nha.,5,5
Rất đáng tiền.,5,5
Thời gian giao hàng rất nhanh.,5,5
Hàng được.,5,5
Ưng lắm ạ.,5,5
"Mùi rất à thơm, rửa xog rất sạch.",5,5
Hình quần dài mà sao shop giao quần lửng vậy?,1,1
Chuột chạy hết r nhé!,4,4
Chưa đi nên chưa biết chất lượng.,3,3
Chất lượng sản phẩm tuyệt vời.,5,5
Chất lượng sản phẩm toẹt vời.,5,5
"áo ưng lắm nha, siêu xinh luôn ạ lại rẻ nữa...yêuuu 😘😚.",5,5
Hay quá shop oi.,4,5
Chất lượng sản phẩm tuyệt vời.,5,5
Ăn hết sẽ mua tiếp.,3,5
Mình chỉ muốn nói là trên cả tuyệt vời.,5,5
"Khá hài lòng mỗi tội dài dài ,may chân mình cũng dài nên Ok luôn :* Eo hơi rộng nên các bạn chọn dưới 1 size nha :*.",4,4
Chất lượng sản phẩm rất kém.,1,1
Shop phục vụ rất tốt Rất đáng tiền Đóng gói sản phẩm rất đẹp và chắc chắn Chất lượng sản phẩm tuyệt vời Thời gian giao hàng rất nhanh.,5,5
Shop làm ăn mất uy tín.,1,5
Màn hình to và khá là hd.,5,3
"Quần đẹp có điều túi ngắn quá ko đc sâu, hình đăng & sp giống như miêu tả 👌.",5,5
"Đẹp, đứng dáng, chất lượng áo tuyệt vời.",5,5
oto không có ốc lỏng léo. chắc lần đầu lần cuối.,1,1
Sẽ ủng hộ shop dài dài.,5,5
Áo dễ thương.,4,5
Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh.,5,5
Vải tạm được.,2,2
"Chất dày dặn, đẹp mà ưng lắm.",4,5
Shop phục vụ rất tốt Shop phục vụ rất tốt Đóng gói sản phẩm rất đẹp và chắc chắn.,5,5
"Gối êm, vỏ gối rất đẹp.",5,5
Hàng tốt.,4,5
Sẽ còn ủng hộ shop lâu dài!!!,5,5
Đẹp mà còn rẻ nữa.,5,5
Nhưng so với tầm giá như vậy là khá ổn.,4,4
Áo K dẹp xấu.,1,1
Áo đẹp lắm ak.,5,5
ko giống hình.,2,2
Shop phục vụ rất tốt Thời gian giao hàng rất nhanh Nhưng đăng ký hộp Lock thì shop lại gửi túi vì mới lấy túi rồi.,3,3
Tạm ổn.,3,3
Chưa dùng nên cũng ko biết chất lượng.,2,2
"Đặt size L nhưng lại giao size M, bù lại sản phẩm cũng rất OK, giao hàng rất nhanh.",3,3
Chất lượng sản phẩm tuyệt vời Rất đáng tiền Thời gian giao hàng rất nhanh mỗi cái hàng có k3m quà tặng nhưng khi giao hàng lại ko có quà tặng shop lưu ý nha.,4,4
hjhj cũng vui khi nhận dược hàng.,3,3
Bỏ vô xài 4g vi vuuuuu luôn.,4,4
Uống cũng không khó chịu như thuốc khác.,4,4
Hàng mới nhận nhưng giống như xài rồi ..,1,1
Vải thô ơi là thô.,1,1
Đồ đẹp rất hài lòng.,5,5
"Chất lượng sản phẩm tốt, vải hơi mỏng.",4,3
Bị bung chỉ nhiều.,1,1
Như kiểu giẻ lau nhà.,1,1
Thời gian giao hàng rất nhanh Rất đáng tiền Shop phục vụ rất tốt Shop phục vụ rất tốt Đóng gói sản phẩm rất đẹp và chắc chắn Chất lượng sản phẩm tuyệt vời.,5,5
chất đẹp chuẩn size.,5,5
Giao hàng lại nhanh.,5,5
Chất liệu phải lộn xộn không đồng nhất.,1,1
"Áo thun chất mềm mịn, mặc mát, màu đẹp.",5,5
"Áo nhiều chỉ thừa, hình như k phải là len.",2,2
Sz 2 bộ xanh và hồng ko giống nhau.,1,1
Shop nên để lưu ý để khách biết chừng mua.,2,2
Giao hàng chưa tới 3h quá nhanh.,4,5
Mua 1 cây son thôi mà shop chu đáo quá.,5,5
Mặc thoải mái không bí người.,5,5
Có xác thực.,4,5
Chủ shop dễ thương ^^.,4,5
"Shop phục vụ rất tốt, nhiệt tình tư vấn.",5,5
From hơi nhỏ Chất lượng sản phẩm tạm được Thời gian giao hàng rất nhanh.,4,4
Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Rất đáng tiền Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh.,5,5
Mình mua 2 gói 5L tổng cộng là 10L nhưng mà có cảm giác là lượng cát lại ít hơn 1 gói 10L của Me-O.,2,2
Thích.,5,5
Nhưng nói chung cũng tạm ổn so với giá tiền.,3,3
Ghi rõ là áo size 36 nhưng giao size 34 bé bằng lỗ mũi.,1,1
Son lên màu đẹp.,4,4
Áo vải đẹp mn trên tâm mua nhé.,4,4
Sóng 4 g mà ở trong phòng là mạng H Còn ra ngoài ms 4G.,2,2
Shop phục vụ tốt đổi trả nhanh chóng.,5,5
"Shop phục vụ khá tốt,trả lời khách hàng rất nhanh chóng.",4,4
"Dây kéo hơi rít xíu nhưng chắc do còn mới, màu áo rất đẹp!",5,5
Kiểu áo giống hình.,4,4
Áo thì vải tạm chấp nhận được.Tay hơi dài.,4,4
Chủ shop nhiệt tình lắm ạ.,4,4
Không nên mua.,1,5
Bạn nào 1m65 tro lên thi mac sẽ bị ngắn.,3,3
Áo ra màu.,2,1
Giá cả phù hợp với sản phẩm.,4,5
Áo màu đen in chữ trắng nhưng chữ xám xám bẩn bẩn.,1,1
Chất liệu được.,5,5
Tuyệt lắm lắm.,5,5
Shop cũng rất dễ thương mà :).,4,5
Hang k đẹp k mjn.,1,1
Vì lớp bao nilon đen có mùi nước tiểu của mèo.,3,3
Chất lượng sản phẩm tuyệt vời Áo đep lắm vừa in nữa thanks shop.,5,5
"Phần nẹp váy may nhăn nheo, dúm dó.",2,2
Bạn chủ bán hàng nhiệt tình.,5,5
"Chất vải ok, phù hợp giá tiền.",4,4
Mẹ t khen váy xinh 😁.,5,5
Áo mặc lên tây lắm :)) chất vải dày dặn.,4,4
Vải ọ.,3,5
Có mùi dầu hỏa.,1,1
Chất lượng sản phẩm tuyệt vời mình eo 66 mặc size s vẫn thấy rộng phải đi sửa haizzzz Đóng gói sản phẩm rất đẹp và chắc chắn Thời gian giao hàng rất nhanh.,4,4
"nhưng bị rách , vải này chắc giặt sẽ bị giản , hình in trên áo không giống hình mẫu mặc cho lắm ( màu ).",1,1
Vải thì rất đẹp.,5,5
Ưng cái bụng lắm luôn!,4,4
Cặp dáng xấu.,2,2
Kiểu đây là phải tốn xiềng dài dài thoai 😙😙😙.,5,5
Nói là chỉ có k98 mà giao M24 ???,1,1
Ống quần hơi bé.,2,2
Áo đẹp from rộng chất vải rất là đẹp luôn ý 😍😍 sẽ ủng hộ shop lâu dài.,5,5
Cảm ơn shop.,4,5
Chất lượng sản phẩm tuyệt vời.,5,5
Chất lượng sản phẩm tốt Đóng gói sản phẩm chắc chắn Shop phục vụ khá tốt Thời gian giao hàng hơi chậm.,3,3
Vai hoi mong Chất lượng sản phẩm tạm được.,3,3
Rất đáng tiền Thời gian giao hàng rất nhanh Rất đáng tiền Chất lượng sản phẩm tuyệt vời.,4,5
ns chung là tiền nào của đấy rất ok :).,4,4
Chất xấu.,1,1
Chắc chắn sẽ quay lại.,5,5
Chất lượng áo kém đúng là tiền nào của nấy.,1,1
Nhìn hình thức giống trên hình.,5,5
"Áo rất đẹp, mình rất ưng ý.",4,5
Chất lượng hài lòng!,5,5
Shop phục vụ rất kém.,1,1
Mjh rat thjch.,5,5
Địu ok.,4,4
Áo đẹp nhg hơi rộng size S mà phải sửa lại tay áo mới vừa.,4,4
Mầu xanh thì rất ok.,4,4
Chất lượng quá tồi.,1,1
"Giao hàng siêu nhanh, chất lượng sp tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Rất đáng tiền.",5,5
"Hag dep như hjh, áo chất ren mềm , mac nhẹ thjch lắm💋.",5,5
Sp giống mô tả.,4,4
Áo được nhưng hơi mỏng.,3,3
"Nhưng mình 52kg mặc ko vừa, chất lại ko co giãn thành ra mua xong lại phải trả hàng.",3,3
"Giao hàng nhanh, hơi rít mặt, cảm giác chống nắng chưa thật sự tốt.",2,2
Có hột hột bên trong như cát mịn không biet như thế nào vi mới lần đầu sd loaii tã này.,3,3
"Rất thích ạ,, 🙂.",5,5
Áo chất vải OK ạ Chất lượng sản phẩm tuyệt vời Shop phục vụ rất tốt.,5,5
Sp đẹp mặc thoáng 😊thích lắm shop Rất đáng tiền.,5,5
Áo đẹp 👍🏻👍🏻👍🏻.,5,5
Chất lượng tốt.,4,5
Shop phục vụ rất tốt.Thời gian giao hàng rất tốt.,5,5
Áo khác so hình.,2,2
Sản phẩm đẹp hơn trong hình luôn...shop dễ thương nữa...,5,5
Giày hơi rộng so với chân nhưng mặc tất vào đi vẫn ok.,4,4
"Dáng quần đẹp đúng mẫu, đường may chắc chắn.",5,5
"Bên ngoài còn đẹp hơn trong ảnh, shop tư vấn nhiệt tình.",5,5
Các mẹ nên cân nhắc trước khi mua hàng.,1,1
Nhung ma mac ban dep.,3,3
Bố khen áo đẹp 😍😍😍.,4,5
Cám ơn Shop nha.,5,5
Giày thì ok.,3,4
Áo đẹp màu đẹp dày dặn tuyệt.,5,5
Tiền nào của đó thôi.,3,5
"Đẹp, chất lượng.",4,5
"Nay mua 1 cái màu đen nhung cái màu đen lại to hơn 1 chút,nhưng e vẫn mặc dc a e cao 1m62.",3,3
Áo đẹp như hình.,4,5
Chất liệu bt.,3,3
Không đc cái hộp màu hồng như hình .,2,2
"Thực sự là bạn nào phải rất rất gầy mới mặc được đồ của shop :( Mình cao 1m62, nặng 50kg, k hề béo mà mặc chật ních không chui nổi tay qua :((.",2,2
Chị chủ shop cũng tận tình lắm.,5,5
Màu giống hình đều chất vải mình k thích lắm.,3,3
"Có lưu ý nhỏ là các bạn đừng giặt chung đồ màu, mặc cái này đi biển thì xinh khỏi chê.",4,4
"Sp mỏng,thấm hút k tốt.",2,2
Giao hàng nhanh. shop phục vụ tốt.,5,5
Rất thích.,5,5
Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời.,5,5
Đóng gói sản phẩm rất đẹp và chắc chắn.,5,5
Đang tiếc vì chỉ đặt có 1 em đây.,1,1
Thời gian giao hàng rất nhanh.,5,5
Mình đặt side M Mà giao side L .,1,1
Chất lượng sản phẩm rất kém.,1,1
Hơi mất thời gian của khách hàng.,2,2
Thanks shop đã tư vấn cái túi này quá ưng ý.,5,5
Sản phẩm đẹp mê ly..chủ shop nhiệt tình chọn màu theo yêu cầu..sẽ ủng hộ shop dài dài..,5,5
Hàng đẹp chất lượng khỏi phải bàn luôn.,5,5
Đầm đẹp.,4,4
"Đáng tiền lắm, sẽ ủng hộ đủ 5 đơn để lấy quà.",5,5
Áo rất đẹp lun!!!,5,5
Mình đặt Gà xé cay mà sp ko có cay.,3,3
"Đóng gói chắc chắn, đẹp mắt.",4,5
Chất lượng sản phẩm khá đẹp.,4,5
Chất lượng sản phẩm tạm được .,4,3
"Chất lượng sản phẩm kém, không đáng giá tiền, 1 số chi tiết khác với trên hình quảng cáo.",1,1
Rất đáng tiền.,5,5
Lần sau tôi có mua sản phẩm bên shop thì đừng gửi bên dv giao hàng nhanh.,1,1
Vai chật dù mk gầy.,4,4
Hang qua dêu khong giong nhu hình đặt.,1,1
Giao hàng hơi chậm.,2,3
Chủ shop nc dễ thương.,5,4
Giày đẹp.,5,5
Sp tot phu hop voi gia tien.giao hang nhanh.,4,4
Màu này thì chuẩn vải cũng rất dày và đẹp rất chất lượng.,5,5
Nhưng nhận đc thì thấy okie vô cùng.,3,3
Chất lượng sản phẩm tuyệt vời ngoài sức mog đợi luôn ý 😙😙.,5,5
Thank shop nhe 😊 Chất lượng sản phẩm tuyệt vời Shop phục vụ rất tốt Rất đáng tiền.,4,5
Chạy phập phù hút sặc nước lại hút lại từ đầu.,1,1
Thanks.,4,5
Mình cao 1m58.,3,3
"Giao sai mẫu đặt., cái màu đen xấu ko mặc vừa.",1,1
"Chất lượng sản phẩm tuyệt vời, đóng gói sản phẩm rất đẹp và chắc chắn, thời gian giao hàng rất nhanh, rất đáng tiền.",5,5
Bikini xuất sắc luôn.,5,5
Rất đáng tiền.,5,5
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh.cam on shop.,5,5
"Chất áo đẹp, rẻ so với giá tiền.",5,5
Chưa dùng nhiều nghe liên tục 30 phút thì bình thường.,2,2
Shop rất nhiệt tình và chu đáo.,5,5
Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời.,5,5
Nhưng thời gian giao hàng hơi lâu.,4,3
Giao hàng nhanh.,5,5
"Đường chỉ may cũng đẹp, chắc chắn Thời gian giao hàng nhanh.",4,4
Áo rất đẹp.,4,5
Chất lượng sản phẩm không tốt như mong đợi.,2,5
Bán áo kiểu gì mà giống y chang ảnh mẫu vậy ạ.,3,3
"Áo len đơn giản mà đẹp lắm, chất len sờ mịn và mướt lắm nha.",5,5
Nói chung là mu chơi cho vui thì được.,3,3
Chất lượng sản phẩm tuyệt vời Shop phục vụ rất tốt Thời gian giao hàng rất nhanh.,5,5
Chất lượng sản phẩm tuyệt vời Rất đáng tiền Đóng gói sản phẩm rất đẹp và chắc chắn.,5,5
Mình rất thích áo này.,5,1
Chất lượng sản phẩm tuyệt vời.,5,5
Shop phục vụ rất tốt Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Rất đáng tiền Rất đáng tiền Thời gian giao hàng rất nhanh.,5,5
Chất lượng sản phẩm tuyệt vời Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh Đóng gói chưa kĩ.,4,4
Shop nói chỉ còn màu hồng mà giao hàng màu xanh.,1,1
Túi rất đẹp và chắc chắn.,5,5
"Đóng gói san Đóng gói sản phẩm Không đẹp một điều tồi tệ Là giao hàng không Đủ còn thiếu một hàng mà shop lại Lấy đủ tiền ,không có hàng thì shop bảo không có đi.",2,2
Dưới 50kg mặc sẽ vừa hơn.,4,5
"Thời gian giao hàng nhanh, sản phẩm giống hình 90%, có phần vai hơi khác, phù hợp với giá 229k hơn là 450k.",2,2
Mặc rất ôm.,5,3
Dây bị đứt.,1,1
Quần hơi rộng nhưg cũng dc 5*.,5,5
ram lùn chạy tốt.,3,3
Săn deal mua cường lực 1K mà đỉnh hơn mình nghĩ.,5,5
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh.shop co ca sp tang kem nua ak. mui rat thom. ok lam.,5,5
Đặt size s mà shop giao size M.,3,3
Chất lượng sản phẩm tuyệt vời.,5,5
"Áo ổn, form k xoè như trong hình lắm ^^.",4,4
Mặc phối với chân váy hay jean đều đẹp.,5,5
"Hàng ko giống hình , cổ may hơi chật , trong hình ko có túi nhưng nhận hàng lại có túi làm xấu áo .",1,1
Coi như bố thí cho cân thịt.,1,1
Tưởng bình thường á mà giao tới xinh xịn gọn gàng chắc chắn lắm nha!!!!,5,5
Hàng bao đệp ưng nhất từ trước đến h mua ol shop nhiệt tình.,5,5
Sẽ ủng hộ shop nữa.,5,5
Rất đáng tiền <3.,5,5
Chất lượng sản phẩm tốt Đóng gói sản phẩm chắc chắn Đáng đồng tiền Đáng đồng tiền.,5,5
Vải mỏng chất lượng kém 😕😕.,1,1
Áo hơi rông.,3,3
"Vải mát, rộng rãi, mặc rất ok.",5,5
"Mua 4 cái áo mà shop giao cùng một cở hết trơn,Áo bự đến nổi người 80kg cũng mặc vừa,trong khi đó mình 46kg mặc vào như đang trùm mền đi ngủ vậy.",2,2
"Chất lượng sản phẩm tuyệt vời,y hình ạ, ủng hộ shop.",5,5
Màu ngoài xấu.,1,1
"Chất lượng sản phẩm kém,vải thô.",2,2
Hàg lỗi quá nhìu.,1,1
Tgian giao hàng rất nhanh....5*.,5,5
Ngực bé nên mua về không thể mặc được.,5,5
"Chất mịn, mát, mỗi tội chất này dễ bị nhăn, nói chung là phù hợp giá tiền.",2,2
"Có v3, có đùi mặc xấu.",4,4
Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Thời gian giao hàng rất nhanh Shop phục vụ rất tốt Thời gian giao hàng rất nhanh Rất đáng tiền Rất đáng tiền Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh.,5,5
Yêu sh Chất lượng sản phẩm tuyệt vời.,4,5
"Chất đẹp, hàng đẹp!",5,5
Hàng free size nên ai khung ng to mặc ko đẹp lắm.,2,2
Bộ này vải hơi mỏg lại thêm màu trắg xanh nên mặc hơi lộ 😂 nhưg tầm giá này thì cx là ok rồi.,3,3
"Hàng rất ok .mình đã mua hàng của shop đc vài lần r, lần nào cũng hài lòng hết.",5,5
"Chất lượng băng đô rất tốt, vải mềm mịn, màu sắc y hình.",5,5
Bạn chủ shop rất nhiệt tình❤️❤️❤️.,5,5
Cảm ơn shop nhìu.,5,5
Đặt 4 bịch shop gởi có 1 mùi duy nhất.,2,2
Chất vải ok nếu có size thì quá tuyệt.,4,4
chất ok nhưng form bé.,4,4
Chúc shop làm ăn phát đạt.,5,5
Đặt 1 trắng 1 nâu đến lúc giao thành 2 nâu.,1,1
Hiu hiu áo siêu xinh ạ 😘.,5,5
Gửi mã thẻ nhanh .rất tiện.,5,5
Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Thời gian giao hàng rất nhanh.,5,5
vs giá này thì chất lượng tương đối ổn.,4,4
Sẽ ủng hộ shop dài lâu ạ.,5,5
Shop phục vụ rất tốt Rất đáng tiền.,5,5
Hàng như nhau mà giá tốt nữa.,5,5
"Màu áo bên ngoài đẹp hơn trong ảnh nha, kiểu dáng đúng như shop đăng lun, rất rất ưng.",5,5
Shop phục vụ rất nhanh chóng và nhiệt tình nha mấy chế!,5,5
Rất đẹp shop nhé.,5,5
"Giầy đẹp, giao nhầm size yêu cầu đổi size.",2,2
Nhưng sp còn có nhiều vết bẩn.,2,2
Shop k nhiệt tình Chất lượng sản phẩm rất kém.,2,2
"Chất lượng áo rất tuyệt vời, mịn, mát .",5,5
K đúng sản phẩm đăng bán !!!,1,1
"Áo hơi có vết bẩn, chất áo đẹp.",4,4
Đóng gói cẩn thận và còn được tặng kèm một đôi tất nưaz.,4,4
Chị chủ siêu cute và dễ thương 😍.,5,5
Sẽ ủng hộ shop.,4,5
Balo đẹp đúng hình nhưng mùi da hơi khó ngửi.,2,2
Shop nhiệt tình.,5,5
Shop tặng kèm món quà nhỏ rất xinh.,5,5
Chất lượng sản phẩm tuyệt vời !,5,5
Nhanh.,5,5
Đóng gói sản phẩm đẹp.,4,5
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền.,5,5
"Hang dep, gia ok.",5,5
K mặc nổi 😣😣😣 Shop phục vụ kém.,1,1
Y hình..,4,5
"Rất ưng ý...rẻ, chất lượng.",4,5
"Chất vải mỏng nhưng mềm,thích hơn màu trắng ☺️.",4,4
Son lên màu đẹp lắm ạ 😍😍😍 ko khô môi mà vẫn lì!,5,5
Cho toi gio van chua thay shop bù hàng..,1,1
Giày như hình.,4,4
Lần đầu tiên mua hàng thảm hoạ.,1,1
Ok rất tốt.,4,5
Vừa rẻ lại vừa đẹp.,5,5
Áo bị lỗi quá.,1,1
Sp k có vấn đề nhưng shipper cua shopee thô lỗ với kh quá mong sẽ k gặp những shipper nv để còn mua hàng trên shopee.,3,3
Nhận đc sản phẩm rất hài lòng.,5,5
"sản phẩm nguyên seal, chính hãng giá tốt , giao hàng nhanh.",5,5
"Thời gian giao hàng rất lâu, sảng không được hài cho lắm.",1,1
Thơm ngọt ngào nhỏ thêm vào sả chanh thơm lắm.,4,4
"Hàng đẹp, giao hàng cực nhanh đóng gói đẹp.",5,5
